code,org,section,enrollmentCapacity,actualEnrolment,deliveryMode,enrollmentControls
USA200H1,CSUS,F,60,20,ONLSYNC,*
USA300H1,CSUS,S,9,7,CLASS,*
USA300H1,CSUS,S,51,8,ONLSYNC,*
USA310H1,CSUS,S,4,4,CLASS,*
USA310H1,CSUS,S,21,4,ONLSYNC,*
USA311H1,CSUS,F,25,15,ONLSYNC,*
USA312H1,CSUS,F,30,4,ONLSYNC,*
USA312H1,CSUS,S,9,4,CLASS,*
USA312H1,CSUS,S,36,2,ONLSYNC,*
USA313H1,CSUS,F,15,3,ONLASYNC,*
USA402H1,CSUS,S,2,2,CLASS,*
USA402H1,CSUS,S,5,3,ONLSYNC,*
USA403H1,CSUS,F,4,3,CLASS,*
USA403H1,CSUS,F,4,2,ONLSYNC,*
USA403H1,CSUS,S,3,1,CLASS,*
USA403H1,CSUS,S,5,0,ONLSYNC,*
ANA300Y1,ANA,Y,400,398,ONLSYNC,
ANA301H1,ANA,S,500,268,ONLSYNC,
ANA400H1,ANA,S,16,0,CLASS,
ANA400H1,ANA,S,0,0,ONLSYNC,
JHA410H1,HMB,S,28,22,CLASS,3
JHA410H1,HMB,S,139,99,ONLSYNC,3
ANA411H1,ANA,S,20,0,CLASS,
ANA411H1,ANA,S,0,0,ONLSYNC,
ANT100Y1,ANT,Y,50,19,ONLSYNC,*
ANT100Y1,ANT,Y,1030,598,ONLSYNC,1
ANT193H1,ANT,S,12,12,CLASS,1
ANT193H1,ANT,S,13,13,ONLSYNC,1
ANT194H1,ANT,F,25,25,ONLSYNC,1
ANT199H1,ANT,F,10,5,CLASS,1
ANT199H1,ANT,F,15,2,ONLSYNC,1
ANT200Y1,ANT,Y,150,92,ONLSYNC,
ANT203Y1,ANT,Y,150,122,ONLASYNC,
ANT204H1,ANT,S,300,191,ONLSYNC,
ANT205H1,ANT,F,120,120,ONLASYNC,
ANT207H1,ANT,F,180,42,ONLASYNC,*
ANT208H1,ANT,S,350,350,ONLSYNC,
ANT253H1,ANT,F,500,500,ONLASYNC,1
JAR301H1,ANT,S,16,0,CLASS,*
JAR301H1,ANT,S,84,13,ONLSYNC,*
ARH305H1,ANT,F,20,9,CLASS,*
ARH305H1,ANT,F,40,15,ONLSYNC,*
JGA305H1,ES,F,14,10,CLASS,
JGA305H1,ES,F,6,4,ONLSYNC,*
JGA305H1,ES,F,36,7,ONLSYNC,
ARH309H1,ANT,S,16,9,CLASS,*
ARH309H1,ANT,S,44,14,ONLSYNC,*
ARH312Y1,ANT,Y,30,20,ONLSYNC,*
ANT314H1,ANT,F,16,11,CLASS,*
ANT314H1,ANT,F,44,6,ONLSYNC,*
ANT318H1,ANT,F,60,39,ONLSYNC,*
ANT322H1,ANT,F,130,29,ONLSYNC,*
ANT329H1,ANT,F,60,18,ONLSYNC,*
ANT333Y1,ANT,Y,60,18,ONLSYNC,*
ANT334H1,ANT,F,100,42,ONLSYNC,*
ANT335Y1,ANT,F,60,25,ONLASYNC,*
ANT336H1,ANT,S,14,11,CLASS,*
ANT336H1,ANT,S,46,20,ONLSYNC,*
ANT338H1,ANT,F,15,15,CLASS,*
ANT338H1,ANT,F,45,21,ONLSYNC,*
ANT343H1,ANT,F,60,39,ONLSYNC,*
ANT345H1,ANT,F,60,23,ONLSYNC,*
ANT348H1,ANT,F,60,40,ONLSYNC,*
ANT356H1,ANT,F,60,24,ONLASYNC,*
ARH360H1,ANT,S,12,9,CLASS,*
ARH360H1,ANT,S,48,5,ONLSYNC,*
ANT366H1,ANT,Y,60,24,ONLSYNC,*
ANT370H1,ANT,S,10,10,CLASS,*
ANT370H1,ANT,S,50,21,ONLSYNC,*
ANT376H1,ANT,F,60,27,ONLASYNC,*
ANT378H1,ANT,S,16,10,CLASS,*
ANT378H1,ANT,S,44,19,ONLSYNC,*
ANT380H1,ANT,S,12,0,CLASS,*
ANT380H1,ANT,S,18,2,ONLSYNC,*
ANT384H1,ANT,F,60,24,ONLSYNC,*
ANT386H1,ANT,S,10,5,CLASS,*
ANT386H1,ANT,S,50,5,ONLSYNC,*
ANT388H1,ANT,S,24,24,CLASS,*
ANT388H1,ANT,S,36,34,ONLSYNC,*
JAL401H1,LIN,S,3,3,CLASS,*
JAL401H1,LIN,S,14,14,ONLSYNC,*
ANT410H1,ANT,S,6,6,CLASS,*
ANT410H1,ANT,S,14,14,ONLSYNC,*
ANT411H1,ANT,S,6,6,CLASS,*
ANT411H1,ANT,S,19,18,ONLSYNC,*
ANT412H1,ANT,F,20,11,ONLSYNC,*
ANT425H1,ANT,F,10,9,CLASS,*
ANT425H1,ANT,F,14,7,ONLSYNC,*
ANT434H1,ANT,S,12,12,CLASS,*
ANT434H1,ANT,S,8,8,ONLSYNC,*
ANT435H1,ANT,S,3,3,CLASS,*
ANT435H1,ANT,S,17,17,ONLSYNC,*
ANT438H1,ANT,F,20,16,ONLSYNC,*
ANT441H1,ANT,S,7,7,CLASS,*
ANT441H1,ANT,S,13,13,ONLSYNC,*
ANT450H1,ANT,F,20,20,ONLASYNC,*
HAJ453H1,HMB,F,23,20,CLASS,3
HAJ453H1,HMB,F,52,44,ONLSYNC,3
ANT455H1,ANT,S,7,6,CLASS,*
ANT455H1,ANT,S,13,5,ONLSYNC,*
ANT459H1,ANT,S,5,2,CLASS,*
ANT459H1,ANT,S,15,4,ONLSYNC,*
ANT460H1,ANT,S,10,10,CLASS,*
ANT460H1,ANT,S,10,10,ONLSYNC,*
ANT472H1,ANT,S,6,6,CLASS,*
ANT472H1,ANT,S,14,12,ONLSYNC,*
ANT473H1,ANT,F,20,1,ONLSYNC,*
ANT484H1,ANT,S,5,5,CLASS,*
ANT484H1,ANT,S,15,9,ONLSYNC,*
ANT485H1,ANT,F,20,15,ONLSYNC,*
ARH494H1,ANT,S,10,1,CLASS,*
ARH494H1,ANT,S,10,0,ONLSYNC,*
IFP101Y1,NEW,Y,20,5,ONLSYNC,*
FOR200H1,ARCLA,F,250,213,ONLASYNC,
FOR201H1,ARCLA,S,210,100,ONLSYNC,
FOR300H1,ARCLA,S,16,9,CLASS,
FOR300H1,ARCLA,S,39,16,ONLSYNC,
FOR302H1,ARCLA,S,12,12,CLASS,
FOR302H1,ARCLA,S,63,38,ONLSYNC,
FOR303H1,ARCLA,F,75,75,ONLASYNC,
FOR305H1,ARCLA,F,20,20,CLASS,
FOR305H1,ARCLA,F,15,15,ONLSYNC,
FOR310H1,ARCLA,S,1,1,CLASS,*
FOR310H1,ARCLA,S,15,15,CLASS,
FOR310H1,ARCLA,S,30,28,ONLSYNC,
FOR310H1,ARCLA,S,3,3,ONLSYNC,*
FOR400Y1,ARCLA,Y,28,15,CLASS,
FOR400Y1,ARCLA,Y,7,7,ONLSYNC,
FOR401H1,ARCLA,Y,18,1,CLASS,
FOR410H1,ARCLA,S,2,0,CLASS,
FOR410H1,ARCLA,S,8,0,ONLSYNC,
FOR416H1,ARCLA,F,20,14,ONLSYNC,
FOR419H1,ARCLA,S,8,5,CLASS,
FOR419H1,ARCLA,S,12,3,ONLSYNC,
FOR423H1,ARCLA,S,2,1,CLASS,
FOR423H1,ARCLA,S,8,0,ONLSYNC,
FAH102H1,FAR,F,201,160,ONLASYNC,1
FAH102H1,FAR,S,220,139,ONLASYNC,1
FAH194H1,FAR,F,24,24,ONLSYNC,1
FAH196H1,FAR,S,10,10,CLASS,1
FAH196H1,FAR,S,15,15,ONLSYNC,1
FAH198H1,FAR,S,5,5,CLASS,1
FAH198H1,FAR,S,20,4,ONLSYNC,1
FAH205H1,FAR,S,28,11,CLASS,
FAH205H1,FAR,S,160,13,ONLSYNC,
FAH207H1,FAR,F,201,184,ONLASYNC,
FAH215H1,FAR,F,28,19,CLASS,
FAH215H1,FAR,F,62,41,ONLSYNC,
FAH230H1,FAR,S,32,32,CLASS,
FAH230H1,FAR,S,156,125,ONLSYNC,
FAH246H1,FAR,F,201,118,ONLASYNC,
FAH252H1,FAR,S,28,25,CLASS,
FAH252H1,FAR,S,160,64,ONLSYNC,
FAH255H1,FAR,S,26,20,CLASS,
FAH255H1,FAR,S,154,20,ONLSYNC,
FAH262H1,FAR,S,38,25,CLASS,
FAH262H1,FAR,S,150,78,ONLSYNC,
FAH265H1,FAR,S,18,18,CLASS,
FAH265H1,FAR,S,82,29,ONLSYNC,
FAH270H1,FAR,F,201,105,ONLASYNC,
FAH272H1,FAR,S,28,26,CLASS,
FAH272H1,FAR,S,160,51,ONLSYNC,
FAH273H1,FAR,F,188,40,ONLSYNC,
FAH307H1,FAR,S,16,10,CLASS,
FAH307H1,FAR,S,74,15,ONLSYNC,
FAH309H1,FAR,S,16,16,CLASS,
FAH309H1,FAR,S,80,53,ONLSYNC,
FAH313H1,FAR,S,16,16,CLASS,
FAH313H1,FAR,S,74,74,ONLSYNC,
FAH314H1,FAR,F,110,64,ONLSYNC,
FAH319H1,FAR,S,0,0,CLASS,
FAH319H1,FAR,S,70,12,ONLSYNC,
FAH325H1,FAR,S,16,13,CLASS,
FAH325H1,FAR,S,74,14,ONLSYNC,
FAH331H1,FAR,F,25,10,CLASS,
FAH331H1,FAR,F,70,29,ONLSYNC,
FAH337H1,FAR,S,9,7,CLASS,
FAH337H1,FAR,S,86,14,ONLSYNC,
FAH338H1,FAR,F,96,49,ONLSYNC,
FAH347H1,FAR,S,12,1,CLASS,
FAH347H1,FAR,S,58,37,ONLSYNC,
FAH352H1,FAR,S,14,14,CLASS,
FAH352H1,FAR,S,76,57,ONLSYNC,
FAH360H1,FAR,F,23,23,CLASS,
FAH360H1,FAR,F,92,92,ONLSYNC,
FAH371H1,FAR,S,16,13,CLASS,
FAH371H1,FAR,S,74,28,ONLSYNC,
FAH382H1,FAR,F,18,18,CLASS,
FAH382H1,FAR,F,17,17,ONLSYNC,
FAH388H1,FAR,S,18,18,CLASS,
FAH388H1,FAR,S,82,24,ONLSYNC,
FAH407H1,FAR,F,18,10,ONLSYNC,3
FAH421H1,FAR,F,18,3,ONLSYNC,3
FAH423H1,FAR,F,18,11,ONLSYNC,3
FAH424H1,FAR,F,18,6,ONLSYNC,3
FAH430H1,FAR,S,3,1,CLASS,3
FAH430H1,FAR,S,9,5,ONLSYNC,3
FAH436H1,FAR,F,18,18,ONLSYNC,3
