code,org,section,enrollmentCapacity,actualEnrolment,deliveryMode,teachingMethod,enrollmentControls
USA200H1,CSUS,F,60,21,ONLSYNC,LEC,*
USA300H1,CSUS,S,9,7,CLASS,LEC,*
USA300H1,CSUS,S,51,8,ONLSYNC,LEC,*
USA300H1,CSUS,S,9,6,CLASS,TUT,
USA300H1,CSUS,S,9,1,CLASS,TUT,
USA300H1,CSUS,S,21,5,ONLSYNC,TUT,
USA300H1,CSUS,S,21,3,ONLSYNC,TUT,
USA310H1,CSUS,S,4,4,CLASS,LEC,*
USA310H1,CSUS,S,21,4,ONLSYNC,LEC,*
USA311H1,CSUS,F,25,15,ONLSYNC,LEC,*
USA312H1,CSUS,F,30,6,ONLSYNC,LEC,*
USA312H1,CSUS,S,9,4,CLASS,LEC,*
USA312H1,CSUS,S,36,2,ONLSYNC,LEC,*
USA313H1,CSUS,F,15,2,ONLASYNC,LEC,*
USA402H1,CSUS,S,2,2,CLASS,LEC,*
USA402H1,CSUS,S,5,3,ONLSYNC,LEC,*
USA403H1,CSUS,F,4,3,CLASS,LEC,*
USA403H1,CSUS,F,4,2,ONLSYNC,LEC,*
USA403H1,CSUS,S,3,1,CLASS,LEC,*
USA403H1,CSUS,S,5,0,ONLSYNC,LEC,*
ANA300Y1,ANA,Y,400,398,ONLSYNC,LEC,
ANA300Y1,ANA,Y,67,67,ONLSYNC,TUT,
ANA300Y1,ANA,Y,67,67,ONLSYNC,TUT,
ANA300Y1,ANA,Y,67,67,ONLSYNC,TUT,
ANA300Y1,ANA,Y,67,67,ONLSYNC,TUT,
ANA300Y1,ANA,Y,66,66,ONLSYNC,TUT,
ANA300Y1,ANA,Y,66,62,ONLSYNC,TUT,
ANA301H1,ANA,S,500,267,ONLSYNC,LEC,
ANA400H1,ANA,S,16,0,CLASS,LEC,
ANA400H1,ANA,S,0,0,ONLSYNC,LEC,
JHA410H1,HMB,S,28,22,CLASS,LEC,3
JHA410H1,HMB,S,139,100,ONLSYNC,LEC,3
JHA410H1,HMB,S,26,11,CLASS,PRA,
JHA410H1,HMB,S,26,17,CLASS,PRA,
JHA410H1,HMB,S,10,10,CLASS,PRA,
JHA410H1,HMB,S,26,18,CLASS,PRA,
JHA410H1,HMB,S,23,16,ONLSYNC,PRA,
JHA410H1,HMB,S,23,17,ONLSYNC,PRA,
JHA410H1,HMB,S,10,4,ONLSYNC,PRA,
JHA410H1,HMB,S,23,16,ONLSYNC,PRA,
ANA411H1,ANA,S,20,0,CLASS,LEC,
ANA411H1,ANA,S,0,0,ONLSYNC,LEC,
ANT100Y1,ANT,Y,50,19,ONLSYNC,LEC,*
ANT100Y1,ANT,Y,1030,610,ONLSYNC,LEC,1
ANT193H1,ANT,S,12,12,CLASS,LEC,1
ANT193H1,ANT,S,13,13,ONLSYNC,LEC,1
ANT194H1,ANT,F,25,25,ONLSYNC,LEC,1
ANT199H1,ANT,F,10,5,CLASS,LEC,1
ANT199H1,ANT,F,15,2,ONLSYNC,LEC,1
ANT200Y1,ANT,Y,150,94,ONLSYNC,LEC,
ANT200Y1,ANT,Y,12,5,CLASS,TUT,
ANT200Y1,ANT,Y,12,5,CLASS,TUT,
ANT200Y1,ANT,Y,12,12,CLASS,TUT,
ANT200Y1,ANT,Y,12,4,CLASS,TUT,
ANT200Y1,ANT,Y,12,1,CLASS,TUT,
ANT200Y1,ANT,Y,12,6,CLASS,TUT,
ANT200Y1,ANT,Y,13,13,ONLSYNC,TUT,
ANT200Y1,ANT,Y,13,10,ONLSYNC,TUT,
ANT200Y1,ANT,Y,13,7,ONLSYNC,TUT,
ANT200Y1,ANT,Y,13,9,ONLSYNC,TUT,
ANT200Y1,ANT,Y,13,6,ONLSYNC,TUT,
ANT200Y1,ANT,Y,13,6,ONLSYNC,TUT,
ANT203Y1,ANT,Y,150,126,ONLASYNC,LEC,
ANT203Y1,ANT,Y,57,45,ONLSYNC,PRA,
ANT203Y1,ANT,Y,12,11,CLASS,PRA,
ANT203Y1,ANT,Y,12,12,CLASS,PRA,
ANT203Y1,ANT,Y,12,9,CLASS,PRA,
ANT203Y1,ANT,Y,57,39,ONLSYNC,PRA,
ANT204H1,ANT,S,300,194,ONLSYNC,LEC,
ANT204H1,ANT,S,38,38,ONLSYNC,TUT,
ANT204H1,ANT,S,38,38,ONLSYNC,TUT,
ANT204H1,ANT,S,38,38,ONLSYNC,TUT,
ANT204H1,ANT,S,38,22,ONLSYNC,TUT,
ANT204H1,ANT,S,38,22,ONLSYNC,TUT,
ANT204H1,ANT,S,38,9,ONLSYNC,TUT,
ANT204H1,ANT,S,38,7,ONLSYNC,TUT,
ANT204H1,ANT,S,38,4,ONLSYNC,TUT,
ANT205H1,ANT,F,120,120,ONLASYNC,LEC,
ANT205H1,ANT,F,30,30,ONLSYNC,TUT,
ANT205H1,ANT,F,30,30,ONLSYNC,TUT,
ANT205H1,ANT,F,30,30,ONLSYNC,TUT,
ANT205H1,ANT,F,30,21,ONLSYNC,TUT,
ANT207H1,ANT,F,180,42,ONLASYNC,LEC,*
ANT207H1,ANT,F,30,9,ONLSYNC,TUT,
ANT207H1,ANT,F,30,7,ONLSYNC,TUT,
ANT207H1,ANT,F,30,7,ONLSYNC,TUT,
ANT207H1,ANT,F,30,11,ONLSYNC,TUT,
ANT207H1,ANT,F,30,3,ONLSYNC,TUT,
ANT207H1,ANT,F,30,4,ONLSYNC,TUT,
ANT208H1,ANT,S,350,350,ONLSYNC,LEC,
ANT208H1,ANT,S,35,35,ONLSYNC,TUT,
ANT208H1,ANT,S,35,35,ONLSYNC,TUT,
ANT208H1,ANT,S,35,35,ONLSYNC,TUT,
ANT208H1,ANT,S,35,35,ONLSYNC,TUT,
ANT208H1,ANT,S,35,34,ONLSYNC,TUT,
ANT208H1,ANT,S,35,32,ONLSYNC,TUT,
ANT208H1,ANT,S,35,29,ONLSYNC,TUT,
ANT208H1,ANT,S,35,26,ONLSYNC,TUT,
ANT208H1,ANT,S,35,34,ONLSYNC,TUT,
ANT208H1,ANT,S,35,27,ONLSYNC,TUT,
ANT253H1,ANT,F,500,500,ONLASYNC,LEC,1
